Record Number,Type,Address,Date Opened,Status
PCUP24-020,Conditional Use Permit,"1346 W PHILADELPHIA ST, SUITE A, ONTARIO CA 91762",8/15/2024,Approved Final
PPA24-0257,Planning Pre-Application,"1670 S CHAMPAGNE AV, ONTARIO CA 91761",8/15/2024,Complete
PPA24-0256,Planning Pre-Application,"1651 S CARLOS AV, ONTARIO CA 91761",8/15/2024,Complete
PPA24-0255,Planning Pre-Application,"4105 E INLAND EMPIRE BL, ONTARIO CA 91764",8/15/2024,Complete
PPA24-0254,Planning Pre-Application,"3190 E SHELBY ST, BLDG B, ONTARIO CA 91764",8/14/2024,Complete
PPA24-0253,Planning Pre-Application,"1430 S EUCLID AV, ONTARIO CA 91762",8/14/2024,Withdrawn
PSPA24-004,Specific Plan Amendment,0 EUCALYPTUS,8/13/2024,Under Review
PMTT24-008,Parcel Tract Map,0 EUCALYPTUS,8/13/2024,Under Review
PGPA24-003,General Plan Amendment,0 EUCALYPTUS,8/13/2024,Under Review
PDEV24-017,Development Plan,0 EUCALYPTUS,8/13/2024,Under Review
PPA24-0252,Planning Pre-Application,"1650 N GROVE AV, BLDG 2, ONTARIO CA 91764",8/9/2024,Withdrawn
PPA24-0251,Planning Pre-Application,"1951 S MOUNTAIN AV, BLDG 1, ONTARIO CA 91762",8/8/2024,Resubmittal Required
PTUP24-060,Temporary Use Permit,"1528 W HOLT BL, ONTARIO CA 91762",8/7/2024,Approved
PSGN24-089,Sign Permit,"4321 E ONTARIO MILLS PW, ONTARIO CA 91764",8/7/2024,Approved Final
PSGN24-088,Sign Permit,"4321 E ONTARIO MILLS PW, ONTARIO CA 91764",8/7/2024,Approved Final
PCUP24-019,Conditional Use Permit,"131 E RIVERSIDE DR, UNIT B, ONTARIO CA 91761",8/7/2024,Schedule for Hearing
PPA24-0250,Planning Pre-Application,"131 E RIVERSIDE DR, UNIT B, ONTARIO CA 91761",8/7/2024,Complete
PSGP24-003,Sign Program,"4131 E CONCOURS ST, ONTARIO CA 91764",8/6/2024,Approved Final
PSGN24-087,Sign Permit,"4880 E MOTOR LN, SUITE B, ONTARIO CA 91761",8/6/2024,Approved Final
PCUP24-018,Conditional Use Permit,"2149 E CONVENTION CENTER WY, BLDG 1, ONTARIO CA 91761",8/6/2024,Approved Final
PPA24-0249,Planning Pre-Application,"4131 E CONCOURS ST, ONTARIO CA 91764",8/6/2024,Complete
24TMP-006710,Planning Pre-Application,,8/5/2024,
PDEV24-016,Development Plan,"14717 S HAVEN AV, ONTARIO CA 91762",8/5/2024,Under Review
PPA24-0248,Planning Pre-Application,"4880 E MOTOR LN, SUITE B, ONTARIO CA 91761",8/5/2024,Complete
PPA24-0247,Planning Pre-Application,"903 N QVC WY, ONTARIO CA 91764",8/5/2024,Withdrawn
PPA24-0246,Planning Pre-Application,"903 N QVC WY, ONTARIO CA 91764",8/5/2024,Withdrawn
PPA24-0245,Planning Pre-Application,"5600 E AIRPORT DR, ONTARIO CA 91761",8/5/2024,Complete
PPA24-0244,Planning Pre-Application,"1528 W HOLT BL, ONTARIO CA 91762",8/5/2024,Complete
24TMP-006655,Planning Pre-Application,"853 N QVC WY, ONTARIO CA 91764",8/2/2024,
PSGN24-086,Sign Permit,"3580 E GUASTI RD, ONTARIO CA 91761",8/2/2024,Approved Final
PPA24-0243,Planning Pre-Application,"131 E RIVERSIDE DR, BLDG 1, ONTARIO CA 91761",8/2/2024,Resubmittal Required
PPA24-0242,Planning Pre-Application,"2149 E CONVENTION CENTER WY, BLDG 1, ONTARIO CA 91761",8/2/2024,Complete
PSGN24-085,Sign Permit,"1900 E INLAND EMPIRE BL, ONTARIO CA 91764",8/1/2024,Approved Final
PCUP24-017,Conditional Use Permit,1321 AIRPORT DR,8/1/2024,Under Review
PPA24-0241,Planning Pre-Application,"14561 S HAVEN AV, ONTARIO CA 91762",8/1/2024,Complete
PPA24-0240,Planning Pre-Application,"3580 E GUASTI RD, ONTARIO CA 91761",8/1/2024,Complete
PPA24-0239,Planning Pre-Application,,8/1/2024,Complete
PSGN24-084,Sign Permit,"670 N ARCHIBALD AV, BLDG 1, ONTARIO CA 91764",7/31/2024,Approved Final
PPA24-0238,Planning Pre-Application,"670 N ARCHIBALD AV, BLDG 1, ONTARIO CA 91764",7/31/2024,Complete
PPA24-0237,Planning Pre-Application,"3800 E PHILADELPHIA ST, ONTARIO CA 91761",7/31/2024,Withdrawn
PVER24-036,Zoning Verification Letter,"2000 S GROVE AV, BLDG C, ONTARIO CA 91761",7/30/2024,Approved
PPA24-0236,Planning Pre-Application,"1257 E AIRPORT DR, ONTARIO CA 91761",7/30/2024,Complete
PPA24-0235,Planning Pre-Application,"4321 E ONTARIO MILLS PW, ONTARIO CA 91764",7/30/2024,Complete
PPA24-0234,Planning Pre-Application,"4321 E ONTARIO MILLS PW, ONTARIO CA 91764",7/30/2024,Complete
PPA24-0233,Planning Pre-Application,"2000 S GROVE AV, BLDG C, ONTARIO CA 91761",7/30/2024,Complete
PTUP24-059,Temporary Use Permit,"3430 E ONTARIO RANCH RD, SUITE 1, ONTARIO CA 91761",7/29/2024,Approved
PSGN24-083,Sign Permit,"5150 S ARCHIBALD AV, BLDG 8, ONTARIO CA 91762",7/29/2024,Approved Final
PSGN24-082,Sign Permit,"536 MAITLAND, CA United States",7/29/2024,Approved Final
PPA24-0232,Planning Pre-Application,"2800 E INLAND EMPIRE BL, ONTARIO CA 91764",7/29/2024,Complete
PAUP24-002,Administrative Use Permit,"3430 E ONTARIO RANCH RD, SUITE 1, ONTARIO CA 91761",7/29/2024,Active
PTUP24-058,Temporary Use Permit,"7435 E SCHAEFER AV, ONTARIO CA 91762",7/26/2024,Under Review
PDEV24-015,Development Plan,"0 MILL CREEK AVENUE, Ontario CA United States",7/26/2024,Under Review
PCUP24-016,Conditional Use Permit,"0 MILL CREEK AVENUE, Ontario CA United States",7/26/2024,Under Review
PPA24-0231,Planning Pre-Application,"13344 S ARCHIBALD AV, Ontario CA 91761",7/26/2024,Resubmittal Required
PPA24-0230,Planning Pre-Application,"524 E H ST, ONTARIO CA 91764",7/26/2024,Resubmittal Required
PTUP24-057,Temporary Use Permit,"2661 E GRAND PARK ST, ONTARIO CA 91762",7/25/2024,Approved
PSGN24-081,Sign Permit,"910 N HAVEN AV, ONTARIO CA 91764",7/25/2024,Approved Final
PPA24-0229,Planning Pre-Application,"1311 W MAITLAND ST, ONTARIO CA 91762",7/25/2024,Withdrawn
PPA24-0228,Planning Pre-Application,"910 N HAVEN AV, ONTARIO CA 91764",7/25/2024,Complete
PVER24-035,Zoning Verification Letter,"1031 N EUCLID AV, ONTARIO CA 91762",7/24/2024,Approved
PSGN24-080,Sign Permit,"4282 E ONTARIO RANCH RD, ONTARIO CA 91762",7/24/2024,Approved Final
PCUP24-015,Conditional Use Permit,"1542 W PHILLIPS ST, ONTARIO CA 91762",7/24/2024,Under Review
PPA24-0227,Planning Pre-Application,"1445 W SPRUCE CT, ONTARIO CA 91762",7/24/2024,Complete
PPA24-0226,Planning Pre-Application,"1031 N EUCLID AV, ONTARIO CA 91762",7/24/2024,Complete
PPA24-0225,Planning Pre-Application,"4282 E ONTARIO RANCH RD, ONTARIO CA 91762",7/24/2024,Complete
PPA24-0224,Planning Pre-Application,"3430 E ONTARIO RANCH RD, SUITE 1, ONTARIO CA 91761",7/23/2024,Complete
PPA24-0223,Planning Pre-Application,"1710 E GREVILLEA CT, ONTARIO CA 91761",7/23/2024,Complete
PSGN24-079,Sign Permit,"975 N HAVEN AV, SUITE 100, ONTARIO CA 91764",7/22/2024,Under Review
PSGN24-078,Sign Permit,"2252 S EUCLID AV, SUITE I, ONTARIO CA 91762",7/22/2024,Approved Final
PPA24-0222,Planning Pre-Application,"5060 E FOURTH ST, ONTARIO CA 91764",7/22/2024,Complete
PPA24-0221,Planning Pre-Application,"975 N HAVEN AV, SUITE 100, ONTARIO CA 91764",7/22/2024,Complete
PPA24-0220,Planning Pre-Application,"1105 W PHILADELPHIA ST, BLDG 1, ONTARIO CA 91762",7/19/2024,Withdrawn
PPA24-0219,Planning Pre-Application,"501 E LYNN HAVEN CT, ONTARIO CA 91761",7/19/2024,Withdrawn
24TMP-006098,Planning Pre-Application,"5550 E JURUPA ST, SUITE B, ONTARIO CA 91761",7/18/2024,
PVER24-034,Zoning Verification Letter,"812 N EUCLID AV, BLDG 1, ONTARIO CA 91764",7/18/2024,Approved
PPA24-0218,Planning Pre-Application,"812 N EUCLID AV, BLDG 1, ONTARIO CA 91764",7/18/2024,Complete
PPA24-0217,Planning Pre-Application,"1105 W PHILADELPHIA ST, BLDG 1, ONTARIO CA 91762",7/18/2024,Resubmittal Required
PPA24-0216,Planning Pre-Application,"975 N HAVEN AV, SUITE 100, ONTARIO CA 91764",7/18/2024,Withdrawn
24TMP-006042,Planning Pre-Application,"1718 S GROVE AV, SUITE B, ONTARIO CA 91761",7/17/2024,
24TMP-006042,Planning Pre-Application,"1718 S GROVE AV, SUITE B, ONTARIO CA 91761",7/17/2024,
PTUP24-056,Temporary Use Permit,"216 N EUCLID AV, ONTARIO CA 91761",7/17/2024,Approved
PPRE24-003,Preliminary Review,4900 FOURTH,7/17/2024,Under Review
PPA24-0215,Planning Pre-Application,"1755 E ACACIA ST, ONTARIO CA 91761",7/17/2024,Withdrawn
PVER24-033,Zoning Verification Letter,"4000 E ONTARIO CENTER PW, ONTARIO CA 91764",7/16/2024,Approved
PTUP24-055,Temporary Use Permit,"3998 E INLAND EMPIRE BL, SUITE 100, ONTARIO CA 91764",7/16/2024,Approved
PPA24-0214,Planning Pre-Application,4900 Fourth,7/16/2024,Complete
PPA24-0213,Planning Pre-Application,"1161 W STONERIDGE CT, ONTARIO CA 91762",7/16/2024,Withdrawn
PPA24-0212,Planning Pre-Application,"4000 E ONTARIO CENTER PW, ONTARIO CA 91764",7/16/2024,Complete
PPA24-0211,Planning Pre-Application,"516 E D ST, SUITE A, ONTARIO CA 91761",7/16/2024,Withdrawn
PDFR24-004,DIF Deferral Application,,7/15/2024,
PPA24-0210,Planning Pre-Application,"3998 E INLAND EMPIRE BL, SUITE 300, ONTARIO CA 91764",7/15/2024,Complete
PPA24-0209,Planning Pre-Application,"710 S SULTANA AV, ONTARIO CA 91761",7/15/2024,Complete
PMTT24-007,Parcel Tract Map,"1050 W FRANCIS ST, ONTARIO CA 91762",7/12/2024,Under Review
PHP-24-008,Historical Preservation,"208 E EL MORADO CT, ONTARIO CA 91764",7/12/2024,Under Review
PSGN24-077,Sign Permit,"1105 W PHILADELPHIA ST, BLDG 1, ONTARIO CA 91762",7/12/2024,Approved Final
PDEV24-014,Development Plan,"1050 W FRANCIS ST, ONTARIO CA 91762",7/12/2024,Under Review
PDIF24-001,DIF Credit Agreement,"0 S ARCHIBALD AV, ONTARIO CA 91761",7/12/2024,Active
PPA24-0208,Planning Pre-Application,"1105 W PHILADELPHIA ST, BLDG 1, ONTARIO CA 91762",7/12/2024,Complete
PPA24-0207,Planning Pre-Application,"1542 W PHILLIPS ST, ONTARIO CA 91762",7/12/2024,Complete
PPA24-0206,Planning Pre-Application,"612 N EUCLID AV, ONTARIO CA 91764",7/12/2024,Resubmittal Required
PMTT24-006,Parcel Tract Map,"855 S BENSON AV, ONTARIO CA 91762",7/10/2024,Out to Applicant
PSGN24-076,Sign Permit,"1532 S VINEYARD AV, ONTARIO CA 91761",7/9/2024,Approved Final
PPA24-0205,Planning Pre-Application,"1660 E EUCALYPTUS AV, ONTARIO CA 91762",7/9/2024,Complete
PTUP24-054,Temporary Use Permit,"704 E E ST, ONTARIO CA 91764",7/8/2024,Approved
PTUP24-053,Temporary Use Permit,"224 W CALIFORNIA ST, ONTARIO CA 91762",7/8/2024,Approved
PPA24-0204,Planning Pre-Application,"1532 S VINEYARD AV, ONTARIO CA 91761",7/8/2024,Complete
PVER24-032,Zoning Verification Letter,"405 S WANAMAKER AV, ONTARIO CA 91761",7/3/2024,Approved
PVER24-031,Zoning Verification Letter,"4700 E AIRPORT DR, ONTARIO CA 91761",7/3/2024,Approved
PVER24-030,Zoning Verification Letter,"687 S WANAMAKER AV, ONTARIO CA 91761",7/3/2024,Approved
PSP-24-002,Specific Plan,"8451 E SCHAEFER AV, ONTARIO CA 91761",7/3/2024,Under Review
PSGN24-075,Sign Permit,"757 E HOLT BL, ONTARIO CA 91761",7/3/2024,Approved Final
PSGN24-074,Sign Permit,"1520 N MOUNTAIN AV, SUITE 124, ONTARIO CA 91762",7/3/2024,Approved Final
PPA24-0203,Planning Pre-Application,"687 S WANAMAKER AV, ONTARIO CA 91761",7/3/2024,Complete
PPA24-0202,Planning Pre-Application,"4700 E AIRPORT DR, ONTARIO CA 91761",7/3/2024,Complete
PPA24-0201,Planning Pre-Application,"405 S WANAMAKER AV, ONTARIO CA 91761",7/3/2024,Complete
24TMP-005626,Planning Pre-Application,,7/2/2024,
PMTT24-005,Parcel Tract Map,"0 E EUCALYPTUS AV, ONTARIO CA 91762",7/2/2024,Scheduled for DAB Hearing
PHP-24-007,Historical Preservation,,7/2/2024,Active
PHP-24-006,Historical Preservation,,7/2/2024,Active
PHP-24-005,Historical Preservation,,7/2/2024,Active
PSGN24-073,Sign Permit,"3480 E ONTARIO RANCH RD, SUITE 2A, ONTARIO CA 91761",7/2/2024,Approved Final
PSGN24-072,Sign Permit,"865 S MILLIKEN AV, SUITE G, ONTARIO CA 91761",7/2/2024,Approved Final
PSGN24-071,Sign Permit,"4495 E WALL ST, SUITE 106, ONTARIO CA 91761",7/2/2024,Approved Final
PPA24-0200,Planning Pre-Application,"1520 N MOUNTAIN AV, SUITE 124, ONTARIO CA 91762",7/2/2024,Complete
PPA24-0199,Planning Pre-Application,"8451 E SCHAEFER AV, ONTARIO CA 91761",7/2/2024,Complete
PPA24-0198,Planning Pre-Application,"3480 E ONTARIO RANCH RD, SUITE 2A, ONTARIO CA 91761",7/2/2024,Complete
PPA24-0197,Planning Pre-Application,"865 S MILLIKEN AV, SUITE G, ONTARIO CA 91761",7/2/2024,Complete
PPA24-0196,Planning Pre-Application,"4495 E WALL ST, SUITE 106, ONTARIO CA 91761",7/2/2024,Complete
PSGN24-070,Sign Permit,"222 W G ST, ONTARIO CA 91762",7/1/2024,Approved Final
PPA24-0195,Planning Pre-Application,"222 W G ST, ONTARIO CA 91762",7/1/2024,Complete
PPA24-0194,Planning Pre-Application,"0 E EUCALYPTUS AV, ONTARIO CA 91762",7/1/2024,Complete
PVER24-029,Zoning Verification Letter,"1000 S ETIWANDA AV, Ontario CA 91761",6/28/2024,Approved
PSGN24-069,Sign Permit,"1154 E HOLT BL, ONTARIO CA 91761",6/28/2024,Approved Final
PSGN24-068,Sign Permit,"1172 E HOLT BL, ONTARIO CA 91761",6/28/2024,Approved Final
PPA24-0193,Planning Pre-Application,"1172 E HOLT BL, ONTARIO CA 91761",6/28/2024,Complete
PPA24-0192,Planning Pre-Application,"1154 E HOLT BL, ONTARIO CA 91761",6/28/2024,Complete
PPA24-0191,Planning Pre-Application,"1000 S ETIWANDA AV, Ontario CA 91761",6/28/2024,Complete
PPA24-0190,Planning Pre-Application,"0 %, Ontario CA United States",6/28/2024,Complete
PTUP24-052,Temporary Use Permit,"316 W B ST, ONTARIO CA 91762",6/27/2024,Approved
PSGN24-067,Sign Permit,"720 N ARCHIBALD AV, SUITE A, ONTARIO CA 91764",6/27/2024,Approved Final
PAUP24-001,Administrative Use Permit,"612 N EUCLID AV, ONTARIO CA 91764",6/27/2024,Approved Final
PHP-24-004,Historical Preservation,"115 S PALM AV, ONTARIO CA 91762",6/26/2024,Under Review
PDEV24-013,Development Plan,"2802 S MILLIKEN AV, BLDG 1, ONTARIO CA 91761",6/26/2024,Under Review
PPA24-0189,Planning Pre-Application,"316 W B ST, ONTARIO CA 91762",6/26/2024,Complete
PPA24-0188,Planning Pre-Application,"224 W CALIFORNIA ST, ONTARIO CA 91762",6/26/2024,Withdrawn
PPA24-0187,Planning Pre-Application,"115 S PALM AV, ONTARIO CA 91762",6/25/2024,Complete
PSGN24-066,Sign Permit,"1355 W FIFTH ST, ONTARIO CA 91762",6/21/2024,Approved Final
PVER24-028,Zoning Verification Letter,"5490 E FRANCIS ST, ONTARIO CA 91761",6/20/2024,Approved
PVER24-027,Zoning Verification Letter,"5695 E FRANCIS ST, ONTARIO CA 91761",6/20/2024,Approved
PVER24-026,Zoning Verification Letter,"1950 S VINTAGE AV, ONTARIO CA 91761",6/20/2024,Approved
PPA24-0186,Planning Pre-Application,"5695 E FRANCIS ST, ONTARIO CA 91761",6/20/2024,Complete
PPA24-0185,Planning Pre-Application,"5490 E FRANCIS ST, ONTARIO CA 91761",6/20/2024,Complete
PPA24-0184,Planning Pre-Application,"1950 S VINTAGE AV, ONTARIO CA 91761",6/20/2024,Complete
24TMP-005195,Planning Pre-Application,"1950 S VINTAGE AV, ONTARIO CA 91761",6/19/2024,
PTUP24-051,Temporary Use Permit,655 Carnegie,6/19/2024,Approved
PSGN24-065,Sign Permit,"4321 E ONTARIO MILLS PW, ONTARIO CA 91764",6/19/2024,Approved Final
PSTRP24-004,Short Term Rental License,"1453 E RIVERSIDE DR, ONTARIO CA 91761",6/19/2024,Corrections Required
PPA24-0183,Planning Pre-Application,"4321 E ONTARIO MILLS PW, ONTARIO CA 91764",6/19/2024,Complete
PTUP24-050,Temporary Use Permit,"930 N HAVEN AV, ONTARIO CA 91764",6/18/2024,Approved
PSGN24-064,Sign Permit,"3410 E ONTARIO RANCH RD, ONTARIO CA 91761",6/18/2024,Approved Final
PSGN24-063,Sign Permit,"936 E FRANCIS ST, ONTARIO CA 91761",6/18/2024,Approved Final
PPA24-0182,Planning Pre-Application,"855 S BENSON AV, ONTARIO CA 91762",6/18/2024,Complete
PPA24-0181,Planning Pre-Application,"523 W ELM ST, ONTARIO CA 91762",6/18/2024,Withdrawn
PSGN24-062,Sign Permit,"1863 E FOURTH ST, ONTARIO CA 91764",6/17/2024,Approved Final
PPA24-0180,Planning Pre-Application,"936 E FRANCIS ST, ONTARIO CA 91761",6/17/2024,Complete
PPA24-0179,Planning Pre-Application,"3410 E ONTARIO RANCH RD, ONTARIO CA 91761",6/17/2024,Complete
PTUP24-049,Temporary Use Permit,"3430 E ONTARIO RANCH RD, SUITE 1, ONTARIO CA 91761",6/14/2024,Approved
PSGN24-061,Sign Permit,"4953 S EUCLID AV, ONTARIO CA 91762",6/14/2024,Under Review
PSGN24-060,Sign Permit,"131 E RIVERSIDE DR, BLDG 1, ONTARIO CA 91761",6/13/2024,Approved Final
PSGN24-059,Sign Permit,"125 S MOUNTAIN AV, ONTARIO CA 91762",6/13/2024,Approved Final
PPA24-0178,Planning Pre-Application,"3430 E ONTARIO RANCH RD, SUITE 1, ONTARIO CA 91761",6/13/2024,Complete
PVER24-025,Zoning Verification Letter,"2401 S GROVE AV, ONTARIO CA 91761",6/12/2024,Approved
PSGN24-058,Sign Permit,"1150 S VINEYARD AV, ONTARIO CA 91761",6/12/2024,Approved Final
PPA24-0177,Planning Pre-Application,"2401 S GROVE AV, ONTARIO CA 91761",6/12/2024,Complete
PPA24-0176,Planning Pre-Application,"1150 S VINEYARD AV, ONTARIO CA 91761",6/12/2024,Complete
PPA24-0175,Planning Pre-Application,"730 N ARCHIBALD AV, SUITE A, ONTARIO CA 91764",6/12/2024,Resubmittal Required
PDFR24-003,DIF Deferral Application,,6/11/2024,
PCUP24-014,Conditional Use Permit,"2246 S MOUNTAIN AV, BLDG 1, ONTARIO CA 91762",6/11/2024,Withdrawn
PPA24-0174,Planning Pre-Application,"2802 S MILLIKEN AV, BLDG 1, ONTARIO CA 91761",6/11/2024,Complete
PSTRP24-003,Short Term Rental License,"2976 E SUNSTONE ST, Ontario CA 91762",6/11/2024,Withdrawn
PPA24-0173,Planning Pre-Application,"514 W RALSTON ST, ONTARIO CA 91762",6/7/2024,Withdrawn
PTUP24-048,Temporary Use Permit,"216 N EUCLID AV, ONTARIO CA 91761",6/6/2024,Approved
PHP-24-003,Historical Preservation,"314 W H ST, ONTARIO CA 91762",6/6/2024,Under Review
PDFR24-002,DIF Deferral Application,"14 Corporate Plaza DR, SUITE 120",6/6/2024,Application Received
PPA24-0172,Planning Pre-Application,"855 S BENSON AV, ONTARIO CA 91762",6/5/2024,Resubmittal Required
PPA24-0171,Planning Pre-Application,"314 W H ST, ONTARIO CA 91762",6/5/2024,Complete
24TMP-004717,Planning Pre-Application,"1560 N GRANITE AV, ONTARIO CA 91762",6/4/2024,
PSGN24-057,Sign Permit,"3130 E INLAND EMPIRE BL, BLDG D, ONTARIO CA 91764",6/4/2024,Approved Final
PSGN24-056,Sign Permit,"2201 S MOUNTAIN AV, BLDG 2, ONTARIO CA 91762",6/4/2024,Approved Final
PPA24-0170,Planning Pre-Application,"1863 E FOURTH ST, ONTARIO CA 91764",6/4/2024,Complete
PPA24-0169,Planning Pre-Application,"1495 N MOUNTAIN AV, ONTARIO CA 91762",6/4/2024,Withdrawn
PPA24-0168,Planning Pre-Application,"1755 E ACACIA ST, ONTARIO CA 91761",6/4/2024,Withdrawn
PTUP24-047,Temporary Use Permit,"217 S LEMON AV, BLDG 1, ONTARIO CA 91761",5/31/2024,Approved
PSGN24-055,Sign Permit,"2252 S EUCLID AV, SUITE I, ONTARIO CA 91762",5/31/2024,Approved Final
PPA24-0167,Planning Pre-Application,"0 S MILL CK, ONTARIO CA 91761",5/31/2024,Complete
PSGN24-054,Sign Permit,"1300 S CAMPUS AV, ONTARIO CA 91761",5/30/2024,Active
PSGN24-053,Sign Permit,"535 N TURNER AV, ONTARIO CA 91761",5/30/2024,Approved Final
PDEV24-012,Development Plan,"2295 S EUCLID AV, BLDG 1, ONTARIO CA 91761",5/30/2024,Approved Final
PPA24-0166,Planning Pre-Application,"224 W CALIFORNIA ONT ST, ONTARIO CA 91762",5/30/2024,Resubmittal Required
PPA24-0165,Planning Pre-Application,"1340 E FIFTH ST, BLDG 7, ONTARIO CA 91764",5/29/2024,Complete
24TMP-004422,Short Term Rental License,"558 E HAWTHORNE ST, ONTARIO CA 91764",5/28/2024,
PVER24-024,Zoning Verification Letter,"4000 S HAMNER AV, ONTARIO CA 91761",5/28/2024,Approved
PSGN24-052,Sign Permit,"1150 E PHILADELPHIA ST, SUITE 112, ONTARIO CA 91761",5/28/2024,Approved Final
PPA24-0164,Planning Pre-Application,"536 Maitland, CA United States",5/28/2024,Complete
PPA24-0163,Planning Pre-Application,"0 %, Ontario CA United States",5/28/2024,Withdrawn
PPA24-0162,Planning Pre-Application,"0 %, Ontario CA United States",5/28/2024,Complete
PPA24-0161,Planning Pre-Application,"1150 E PHILADELPHIA ST, SUITE 112, ONTARIO CA 91761",5/28/2024,Complete
PPA24-0160,Planning Pre-Application,"4953 S EUCLID AV, ONTARIO CA 91762",5/24/2024,Complete
PPA24-0159,Planning Pre-Application,"535 N TURNER AV, ONTARIO CA 91761",5/24/2024,Complete
PPA24-0158,Planning Pre-Application,"532 W MAPLE ST, ONTARIO CA 91762",5/23/2024,Withdrawn
PPA24-0157,Planning Pre-Application,"735 N MILLIKEN AV, SUITE D, ONTARIO CA 91764",5/22/2024,Complete
PPA24-0156,Planning Pre-Application,"2246 S MOUNTAIN AV, BLDG 1, ONTARIO CA 91762",5/22/2024,Complete
PPA24-0155,Planning Pre-Application,"1761 S MAGNOLIA AV, BLDG A, ONTARIO CA 91762",5/21/2024,Withdrawn
PPA24-0154,Planning Pre-Application,"2201 S MOUNTAIN AV, BLDG 2, ONTARIO CA 91762",5/20/2024,Complete
PSGN24-051,Sign Permit,"761 W HOLT BL, ONTARIO CA 91762",5/17/2024,Approved Final
24TMP-004062,Planning Pre-Application,"711 S EUCLID AV, ONTARIO CA 91761",5/16/2024,
PPA24-0153,Planning Pre-Application,"131 E RIVERSIDE DR, BLDG 1, ONTARIO CA 91761",5/16/2024,Complete
PVER24-023,Zoning Verification Letter,"1337 E FOURTH ST, ONTARIO CA 91764",5/15/2024,Approved
PPA24-0152,Planning Pre-Application,"1337 E FOURTH ST, ONTARIO CA 91764",5/15/2024,Complete
PPA24-0151,Planning Pre-Application,"1012 E D ST, ONTARIO CA 91761",5/14/2024,Withdrawn
PVER24-022,Zoning Verification Letter,,5/13/2024,Approved
PSGN24-050,Sign Permit,"2425 S GROVE AV, BLDG 1, ONTARIO CA 91761",5/13/2024,Approved Final
PSGN24-049,Sign Permit,"4550 E ONTARIO MILLS PW, ONTARIO CA 91764",5/13/2024,Approved Final
PPA24-0150,Planning Pre-Application,"2150 S PROFORMA AV, ONTARIO CA 91761",5/13/2024,Withdrawn
PTUP24-046,Temporary Use Permit,"3430 E ONTARIO RANCH RD, SUITE 1, ONTARIO CA 91761",5/10/2024,Approved
PTUP24-045,Temporary Use Permit,"0 S ARCHIBALD AV, ONTARIO CA 91761",5/10/2024,Approved
PSGN24-048,Sign Permit,"920 N HAVEN AV, ONTARIO CA 91764",5/10/2024,Approved Final
PCUP24-013,Conditional Use Permit,"2107 S MILLIKEN AV, BLDG 1, ONTARIO CA 91761",5/10/2024,Under Review
PPA24-0149,Planning Pre-Application,"920 N HAVEN AV, ONTARIO CA 91764",5/10/2024,Complete
PPA24-0148,Planning Pre-Application,"2295 S EUCLID AV, BLDG 1, ONTARIO CA 91761",5/10/2024,Complete
PSP-24-001,Specific Plan,"0 E SCHAEFER AV, Ontario CA 91761",5/9/2024,Under Review
PMTT24-004,Parcel Tract Map,"0 E SCHAEFER AV, Ontario CA 91761",5/9/2024,Under Review
PGPA24-002,General Plan Amendment,"0 E SCHAEFER AV, Ontario CA 91761",5/9/2024,Under Review
PCUP24-012,Conditional Use Permit,"1520 N MOUNTAIN AV, SUITE 116, ONTARIO CA 91762",5/9/2024,Approved Final
PPA24-0147,Planning Pre-Application,"3430 E ONTARIO RANCH RD, SUITE 1, ONTARIO CA 91761",5/9/2024,Complete
